,POS Txn,Dept,ID,Sales U
3423,16120100160038001260,0071,266,1
3424,16120100160038001260,0531,71,1
3425,16120100160038001260,0532,72,1
3426,16120100160038001260,0554,76,1
3427,16120100160038001260,0603,99,2
3428,16120100160038001260,0982,176,1
3429,16120100160038001261,0590,86,2
3430,16120100160038001261,0597,93,4
3431,16120100160038001261,0603,99,2
3432,16120100160038001261,0604,100,1
3433,16120100160038001261,0861,156,1
3434,16120100160038001261,0962,170,2
3435,16120100160038001262,0530,70,1
3436,16120100160038001262,0833,141,1
3437,16120100160038001262,0836,143,4
3438,16120100160038001263,0012,263,6
3439,16120100160038001263,0240,24,1
3440,16120100160038001263,0261,250,1
3441,16120100160038001263,0532,72,1
3442,16120100160038001263,0822,278,1
3443,16120100160038001263,0845,146,1
3444,16120100160038001263,0884,160,2
3445,16120100160038001263,0973,175,4
3446,16120100160038001263,0982,176,2
3447,16120100160038001264,0962,170,1
3448,16120100160038001265,0973,175,1
3449,16120100160038001267,0421,53,1
3450,16120100160038001268,0638,106,1
3451,16120100160038001268,0836,143,2
3452,16120100160038001269,0261,250,2
3453,16120100160038001269,0603,99,2
3454,16120100160038001269,0962,170,1
3455,16120100160038001269,0973,175,2
3456,16120100160038001270,0416,52,4
3457,16120100160038001270,0585,81,1
3458,16120100160038001270,0598,94,1
3459,16120100160038001271,0391,48,1
3460,16120100160038001271,0469,60,1
3461,16120100160038001271,0597,93,1
3462,16120100160038001271,0604,100,1
3463,16120100160038001271,0640,108,3
3464,16120100160038001271,0815,132,1
3465,16120100160038001271,0879,158,1
3466,16120100160038001271,0962,170,2
3467,16120100160038001271,0991,179,2
3468,16120100160038001272,0585,81,1
3469,16120100160038001273,0597,93,1
3470,16120100160038001273,0836,143,5
3471,16120100160038001273,0850,148,1
3472,16120100160038001273,0962,170,3
3473,16120100160038001274,0421,53,3
3474,16120100160038001274,0460,59,1
3475,16120100160038001274,0469,60,1
3476,16120100160038001274,0486,63,1
3477,16120100160038001274,0795,128,10
3478,16120100160038001274,0983,177,4
3479,16120100160038001275,0640,108,2
3480,16120100160038001276,0359,41,1
3481,16120100160038001276,0837,296,1
3482,16120100160038001276,0931,165,3
3483,16120100160038001277,0167,8,2
3484,16120100160038001277,0839,297,1
3485,16120100160038001277,0961,169,1
3486,16120100160038001277,0962,170,2
3487,16120100160038001278,0167,8,1
3488,16120100160038001279,0680,113,2
3489,16120100160038001279,0819,135,1
3490,16120100160038001279,0962,170,1
3491,16120100160038001279,0973,175,1
3492,16120100160038001280,0440,57,12
3493,16120100160038001280,0640,108,3
3494,16120100160038001281,0530,70,1
3495,16120100160038001282,0167,8,1
3496,16120100160038001282,0177,12,1
3497,16120100160038001283,0056,265,1
3498,16120100160038001283,0595,272,1
3499,16120100160038001283,0597,93,1
3500,16120100160038001283,0879,158,1
3501,16120100160038001283,0962,170,1
3502,16120100160038001283,0973,175,2
3503,16120100160038001284,0391,48,1
3504,16120100160038001284,0597,93,1
3505,16120100160038001284,0634,102,1
3506,16120100160038001284,0836,143,3
3507,16120100160038001285,0230,23,1
3508,16120100160038001285,0590,86,1
3509,16120100160038001285,0593,270,1
3510,16120100160038001285,0646,110,2
3511,16120100160038001286,0240,24,1
3512,16120100160038001286,0604,100,1
3513,16120100160038001286,0680,113,1
3514,16120100160038001286,0722,122,1
3515,16120100160038001286,0999,182,1
3516,16120100160038001287,0590,86,1
3517,16120100160038001287,0597,93,1
3518,16120100160038001287,0836,143,6
3519,16120100160038001287,0879,158,1
3520,16120100160038001288,0177,12,1
3521,16120100160038001288,0261,250,1
3522,16120100160038001288,0532,72,3
3523,16120100160038001289,0836,143,2
3524,16120100160038001290,0590,86,2
3525,16120100160038001290,0603,99,4
3526,16120100160038001290,0637,105,4
3527,16120100160038001290,0962,170,1
3528,16120100160038001290,0973,175,2
3529,16120100160038001290,0983,177,1
3530,16120100160038001291,0540,73,2
3531,16120100160038001291,0836,143,1
3532,16120100160038001292,0822,278,1
3533,16120100160038001293,0597,93,1
3534,16120100160038001294,0291,28,1
3535,16120100160038001295,0161,5,2
3536,16120100160038001295,0165,7,4
3537,16120100160038001295,0470,61,4
3538,16120100160038001295,0586,82,1
3539,16120100160038001295,0590,86,1
3540,16120100160038001295,0603,99,3
3541,16120100160038001295,0640,108,1
3542,16120100160038001296,0680,113,1
3543,16120100160038001297,0962,170,1
3544,16120100160038001297,0973,175,1
3545,16120100160038001298,0962,170,1
3546,16120100160038001299,0962,170,1
3547,16120100160038001299,0973,175,1
3548,16120100160038001300,0961,169,1
3549,16120100160038001300,0962,170,1
3550,16120100160038001301,0532,72,1
3551,16120100160038001301,0973,175,23
3552,16120100160038001302,0850,148,3
3553,16120100160038001303,0532,72,2
3554,16120100160038001303,0983,177,3
3555,16120100160038001304,0973,175,6
3556,16120100160038001304,0983,177,1
3557,16120100160038001305,0271,26,2
3558,16120100160038001305,0280,27,4
3559,16120100160038001313,0962,170,1
3560,16120100160038001314,0836,143,3
3561,16120100160038001316,0597,93,1
3562,16120100160038001316,0604,100,3
3563,16120100160038001316,0961,169,6
3564,16120100160038001316,0962,170,2
3565,16120100160038001316,0973,175,1
3566,16120100160038001317,0604,100,3
3567,16120100160038001317,0836,143,1
3568,16120100160038001317,0961,169,2
3569,16120100160038001318,0193,21,1
3570,16120100160038001318,0595,272,1
3571,16120100160038001318,0601,97,1
3572,16120100160038001318,0836,143,4
3573,16120100160038001318,0839,297,1
3574,16120100160038001318,0930,164,1
3575,16120100160038001319,0839,297,2
3576,16120100160038001319,0861,156,1
3577,16120100160038001319,0863,157,1
3578,16120100160038001319,0941,167,2
3579,16120100160038001324,0982,176,5
3580,16120100160038001325,0261,250,4
3581,16120100160038001325,0280,27,2
3582,16120100160038001325,0593,270,1
3583,16120100160038001325,0597,93,1
3584,16120100160038001325,0603,99,3
3585,16120100160038001325,0604,100,3
3586,16120100160038001325,0836,143,4
3587,16120100160038001330,0984,178,1
